,Subrub_Name,Latitude,Longitude
536,Ascot,-31.93818,115.92258
537,North Baandee,-31.58318,117.95363
538,Roleystone,-32.12105,116.078647
539,Xantippe,-30.03333,117.03333
540,Glenfield,-33.971601,150.893919
541,Bilingurr,-17.913161,122.217277
542,Anketell,-32.218996,115.865241
543,North Trayning,-31.11667,117.8
544,Mcalinden,-33.57801,116.29852
545,Mount Anketell,-32.218996,115.865241
546,Broke,-35.005464,116.553783
547,Badgin,-23.992438,134.050443
548,Muluckine,-31.684949,116.735354
549,Yeagarup,-34.421668,115.862737
550,Waggrakine,-28.689306,114.659095
551,Cowcowing,-30.99835,117.44966
552,Christmas Creek Station,-18.874906,125.925801
553,Kadathinni,-23.992438,134.050443
554,East Nannup,-33.989373,115.762659
555,Red Gully,-23.992438,134.050443
556,Mount Claremont,-31.959823,115.782144
557,Tapping,-31.719313,115.795895
558,Tarin Rock,-33.10753,118.23078
559,Duranillin,-33.51667,116.78333
560,Rottnest Island,-23.992438,134.050443
561,East Nabawa,-28.251085,115.191991
562,Boulder,-30.777653,125.050029
563,West Pinjarra,-32.704627,115.771802
564,Westonia,-31.3,118.7
565,Yoongarillup,-33.71519,115.4268
566,Woodlands,1.43801,103.78877
567,Paynedale,-23.992438,134.050443
568,Newdegate,-33.1,119.01667
569,Inglewood,-34.83333,138.76667
570,Erskine,-32.557178,115.697646
571,Gibson,35.992057,-88.937573
572,Meekatharra,-26.599993,118.4833
573,Inggarda,-23.992438,134.050443
574,Tardun,-28.8,115.75
575,Quellington,-23.992438,134.050443
576,Bootenal,-28.85583,114.7275
577,Peppermint Grove,-23.992438,134.050443
578,White Peak,-28.617668,114.630186
579,Clarkson,-31.683405,115.725025
580,Yornup,-34.061262,116.116284
581,Shenton Park,-31.952409,115.79829
582,Abbey,-33.663577,115.256354
583,Chowerup,-34.08491,116.6746
584,Cottesloe,-31.994051,115.758617
585,Kunjin,-32.35543,117.7709
586,Nannup,-33.989373,115.762659
587,Gnowellen,-23.992438,134.050443
588,West Binnu,-23.992438,134.050443
589,Oakajee,-28.56965,114.63096
590,Sinagra,-31.742932,115.805616
591,Kojonup,-33.823884,117.143693
592,Merivale,52.374687,8.996665
593,Jandakot Airport,-32.09238,115.879194
594,Pintharuka,-29.09403,115.982
595,Boodarie,-20.358584,118.563614
596,Yokine,-31.901025,115.854223
597,East Bowes,-23.992438,134.050443
598,Lesley,52.374687,8.996665
599,Berkshire Valley,-30.55,116.16667
600,Wattening,-31.33333,116.51667
601,Gingin,-31.348721,115.911511
602,East Pingelly,-32.501758,117.227868
603,Glen Mervyn,-23.992438,134.050443
604,Parkeston,-30.733205,121.492572
605,Mandogalup,-32.191179,115.845482
606,Narra Tarra,-28.7,114.71667
607,Rosa Glen,-33.984648,115.179634
608,Beckenham,-32.023899,115.959731
609,Tjirrkarli,-23.992438,134.050443
610,Nunierra,-23.992438,134.050443
611,Minnenooka,-28.776906,114.965153
612,Breera,-23.992438,134.050443
613,Hilbert,-32.179467,115.984871
614,Dongolocking,-33.13333,117.81667
615,Irwin,-29.2204,115.08006
616,Northern Gully,-28.71379,114.90866
617,Palmer,-23.992438,134.050443
618,Cloverdale,-31.962795,115.944854
619,Mosman Park,-32.013993,115.76432
620,Booragoon,-32.039531,115.833759
621,Dudley Park,-32.552866,115.730696
622,South Carnarvon,-24.893927,113.657678
623,Brunswick Junction,-23.992438,134.050443
624,Cardup,-32.25,116.0
625,Karakin,-23.992438,134.050443
626,Torbay,-35.02333,117.66056
627,Kendenup,-34.48333,117.65
628,Tammin,-31.641784,117.486949
629,Harrisdale,-32.116809,115.933459
630,Millbrook,32.508789,-86.369756
631,Jandabup,-31.738852,115.858415
632,North Kellerberrin,-31.5,117.68333
633,Boranup,-34.138899,115.056757
634,Palmyra,34.56077,38.28055
635,The Plains,50.430287,-3.683297
636,Burekup,-33.313212,115.814787
637,Mullalyup,-33.73333,115.93333
638,Lakeside,-23.992438,134.050443
639,Bowes,-28.38333,114.66667
640,Dale,-23.992438,134.050443
641,Picton East,-33.331105,115.783441
642,Hines Hill,-23.992438,134.050443
643,West Toodyay,-31.533446,116.432507
644,Viveash,-31.877431,115.997947
645,North Kununoppin,-31.11174,117.91793
646,Chapman Hill,-23.992438,134.050443
647,Mukinbudin,-30.915746,118.20934
648,Balga,-31.855149,115.840427
649,Parklands,-23.992438,134.050443
650,Piccadilly,-30.742766,121.464177
651,York,40.68295,-73.9708
652,Mount Jackson,-23.992438,134.050443
653,Hester Brook,-33.911719,116.109051
654,Wandina,-28.818339,114.633987
655,Narrogin,-32.994201,117.309361
656,Grass Valley,-23.992438,134.050443
657,Cataby,-30.735551,115.539182
658,West Busselton,-33.660938,115.323611
659,Ennuin,-23.992438,134.050443
660,Bambun,-23.992438,134.050443
661,Contine,-32.86667,116.96667
662,Wellington Forest,51.365607,-0.812731
663,Bremer Bay,-34.402017,119.385917
664,Greenbushes,-23.992438,134.050443
665,Karalundi,-23.992438,134.050443
666,Martin,-32.077035,116.044495
667,Magitup,-23.992438,134.050443
668,Midvale,-23.992438,134.050443
669,Ardath,-23.992438,134.050443
670,Nickol,-20.740971,116.802319
671,Alexander Heights,-31.827337,115.865695
672,Doodenanning,-31.86667,117.15
673,Chapman Valley,-23.992438,134.050443
674,Latham,-35.213204,149.03248
675,Carlisle,-31.979073,115.918394
676,Millars Well,-20.741794,116.817312
677,Merilup,-33.26667,118.16667
678,Kukerin,-33.18333,118.08333
679,Denham,-25.924494,113.535379
680,Wansbrough,-34.14321,117.67151
681,Walliston,-32.000915,116.075819
682,Katanning,-33.690071,117.557564
683,Mount Elphinstone,-35.02729,117.86067
684,O'Connor,-35.259718,149.115243
685,Siesta Park,-23.992438,134.050443
686,Isseka,-28.43333,114.63333
687,Mount Stirling,-31.929378,115.875829
688,North Tammin,-31.641784,117.486949
689,Bovell,-33.68011,115.36097
690,Nangetty,-23.992438,134.050443
691,Big Grove,-35.083158,117.889246
692,Morley,-23.992438,134.050443
693,Meckering,-31.63333,117.01667
694,Rocky Gully,-30.81667,151.21667
695,Mokup,-23.992438,134.050443
696,Upper Swan,-31.76667,116.01667
697,Perth,-31.960773,115.834088
698,Southern Cross,-23.992438,134.050443
699,Woodvale,-31.790291,115.797518
700,Biddelia,-23.992438,134.050443
701,Furnissdale,-32.558745,115.771628
702,Treeton,-23.992438,134.050443
703,Quinninup,-34.43549,116.24984
704,Wicherina,-28.71778,115.0144
705,Capel,-33.554111,115.561103
706,Churchlands,-23.992438,134.050443
707,Nedlands,-31.979391,115.805544
708,Greenough,-28.95,114.73333
709,High Wycombe,-31.944037,116.003141
710,Hithergreen,-23.992438,134.050443
711,Utakarra,-28.783918,114.649894
712,Wellington Mill,-33.46667,115.9
713,Mount Sheila,-37.688633,144.628781
714,Jane Brook,-31.860428,116.049627
715,West Swan,-31.844948,115.983122
716,Allanson,-33.333195,116.087059
717,Eaton,52.887496,-1.283754
718,Bindi Bindi,-30.6352,116.35874
719,Attadale,-32.025519,115.801552
720,Nukarni,-31.28333,118.2
721,Gooseberry Hill,-23.992438,134.050443
722,Scott River,-23.992438,134.050443
723,Gorrie,52.374687,8.996665
724,Brunswick,46.595511,-66.334856
725,Emu Point,-34.996281,117.943811
